Model_name,CV_TrainMAE,CV_TrainRMSE,CV_TestMAE,CV_TestRMSE,CV_fit_time,CV_fit_time_ges,TrainRMSE,TrainMAE,ValidationRMSE,ValidationMAE,TestRMSE,TestMAE,TrainTime_ges,Features,Feature-Anzahl,FS-Laufzeit
Linear Regressor,30.15403209448261,62.396623926719165,30.320943748507823,62.23998650705386,0.10888681411743165,109.81355175971984,62.458293269228506,30.16600325939967,63.35147313700495,29.001535529882858,64.6612650441846,31.094851656258495,0.02048945426940918,"[450 466 468 457 147 358 467 330  84 368 464 459  92 455   3 224 458   7
 462 463  93 356 461 306 169 430 188  15 343 451]",30,109.70466494560242
SVR,33.47440197037986,72.27567836948977,33.57127594354522,71.93946047980135,0.9519162178039551,110.91329860687256,72.31696711310308,33.48049111743238,72.34210367638464,31.849480703389048,75.49828196765819,34.75127824673839,1.5303730964660645,"[450 466 468 457 147 358 467 330  84 368 464 459  92 455   3 224 458   7
 462 463  93 356 461 306 169 430 188  15 343 451]",30,109.9613823890686
Random Forest,11.442987758512528,28.798282528979417,27.247164803092524,56.986850392343115,8.892493057250977,118.82057242393493,28.497439646712138,11.295893332137368,57.63412297625135,26.332580810387544,57.93957382737869,27.63774505937348,11.119253635406494,"[450 466 468 457 147 358 467 330  84 368 464 459  92 455   3 224 458   7
 462 463  93 356 461 306 169 430 188  15 343 451]",30,109.92807936668396
Gradient Boosting,7.3985147552007025,15.449040716688426,28.18749126822908,56.98605097237582,0.5570880889892578,111.06283016204834,18.436923115092576,8.933700260281089,56.44145053874221,26.809699117086907,59.648269017796146,29.34559343457222,0.5742325782775879,"[450 466 468 457 147 358 467 330  84 368 464 459  92 455   3 224 458   7
 462 463  93 356 461 306 169 430 188  15 343 451]",30,110.50574207305908
