Model_name,CV_TrainMAE,CV_TrainRMSE,CV_TestMAE,CV_TestRMSE,CV_fit_time,CV_fit_time_ges,TrainRMSE,TrainMAE,ValidationRMSE,ValidationMAE,TestRMSE,TestMAE,TrainTime_ges,Features,Feature-Anzahl,FS-Laufzeit
Linear Regressor,30.195185183882547,62.56895666143312,30.312480550460243,62.351804415792074,0.02672123908996582,111.28971743583679,62.62109353245872,30.205266257081856,63.348487680950676,28.993220942512114,64.77750649963228,31.133002125205547,0.028132915496826172,"[450 466 468 457 147 358 467 330  84 368 464 459  92 455   3 224 458   7
 462 463]",20,111.26299619674683
SVR,33.490680761098524,72.30323528066015,33.56500827687202,71.95311441282084,0.7608932018280029,112.02052793502807,72.3346546871799,33.49781280585338,72.3166198416372,31.85641640023822,75.46925436029285,34.733497659662156,1.2400221824645996,"[450 466 468 457 147 358 467 330  84 368 464 459  92 455   3 224 458   7
 462 463]",20,111.25963473320007
Random Forest,11.381395546306232,28.646388299563462,27.33246390906381,57.32266501301594,6.5258527278900145,116.58249835968017,28.663977659176766,11.371332891472019,56.65385909175943,26.01742505116923,57.445769532518696,27.334068709327546,8.148220777511597,"[450 466 468 457 147 358 467 330  84 368 464 459  92 455   3 224 458   7
 462 463]",20,110.05664563179016
Gradient Boosting,8.043235115885638,17.500365049620807,28.595692023321526,58.003838752669836,0.4058135986328125,110.74518599510193,20.760434148634836,9.60930461424509,58.142010850490344,27.735184526158843,57.75092390757761,28.672512502020055,0.43375372886657715,"[450 466 468 457 147 358 467 330  84 368 464 459  92 455   3 224 458   7
 462 463]",20,110.33937239646912
