Model_name,CV_TrainMAE,CV_TrainRMSE,CV_TestMAE,CV_TestRMSE,CV_fit_time,CV_fit_time_ges,TrainRMSE,TrainMAE,ValidationRMSE,ValidationMAE,TestRMSE,TestMAE,TrainTime_ges,Features,Feature-Anzahl,FS-Laufzeit
Linear Regressor,30.472931664087515,63.16792234102108,30.537941744213974,62.89600273692209,0.0024452686309814455,110.61501650810241,63.20676998502119,30.479586379246523,63.72291073157846,29.292816679047412,66.12610923281507,31.489348026337886,0.041929006576538086,[450 466 468 457 147 358 467 330  84 368],10,110.61257123947144
SVR,33.529679558214724,72.3654402659296,33.56003482173139,72.00186238686784,0.7218059539794922,110.22022857666016,72.41328447390026,33.53295130435507,72.39299855339037,31.86056897566585,75.49500132183579,34.73727993379387,1.1592717170715332,[450 466 468 457 147 358 467 330  84 368],10,109.49842262268066
Random Forest,11.691923442295195,28.968825429791586,28.10231577872505,57.24951720477749,3.9538472652435304,115.04601535797119,28.63671916937828,11.43779584522388,57.55112699797675,26.938314419147645,56.579641219381266,28.31366772486429,5.0531651973724365,[450 466 468 457 147 358 467 330  84 368],10,111.09216809272766
Gradient Boosting,10.483631529139904,20.984371560052065,29.98053435958649,59.36448733083582,0.22109503746032716,110.92001600265503,25.120264090533535,12.283146192771321,59.75878415337448,28.58644384657408,58.61198093458291,30.228257034583525,0.2556273937225342,[450 466 468 457 147 358 467 330  84 368],10,110.6989209651947
