Model_name,CV_TrainMAE,CV_TrainRMSE,CV_TestMAE,CV_TestRMSE,CV_fit_time,CV_fit_time_ges,TrainRMSE,TrainMAE,TestRMSE,TestMAE,TrainTime_ges,Features,Feature-Anzahl,FS-Laufzeit
Linear Regressor,29.08465897499235,61.20724055114631,29.193322299544047,61.25624395943679,0.005379104614257812,146.44232215881348,61.22699369441687,29.090040196845475,63.3145358354725,30.332742949877083,0.021337032318115234,"[450 466 468 457 467  92 321  70  68 169 358  69  94 147  88 464 459  95
   7  16]",20,146.43694305419922
SVR,23.156581476835385,54.44301572304511,28.531151621104595,61.10908959563092,1.5452454566955567,147.8648024082184,54.51406977372863,23.300433847541353,61.05851345433294,29.511545866716897,2.4668612480163574,"[450 466 468 457 467  92 321  70  68 169 358  69  94 147  88 464 459  95
   7  16]",20,146.31955695152283
Random Forest,11.529784237546476,29.983127677002784,27.472661682999007,58.3692834488876,9.728246021270753,156.68373923301698,29.65740648001768,11.383801690699913,58.71016363578706,27.934991859500247,12.675801753997803,"[450 466 468 457 467  92 321  70  68 169 358  69  94 147  88 464 459  95
   7  16]",20,146.95549321174622
Gradient Boosting,10.045316287700746,21.60157196175151,28.773141442476863,60.01907542688001,0.44475665092468264,146.92792978286744,23.333280297073184,11.152002020526705,58.81648145521828,29.247394090484487,0.4972200393676758,"[450 466 468 457 467  92 321  70  68 169 358  69  94 147  88 464 459  95
   7  16]",20,146.48317313194275
