Model_name,CV_TrainMAE,CV_TrainRMSE,CV_TestMAE,CV_TestRMSE,CV_fit_time,CV_fit_time_ges,TrainRMSE,TrainMAE,TestRMSE,TestMAE,TrainTime_ges,Features,Feature-Anzahl,FS-Laufzeit
Linear Regressor,29.00470854646171,61.12925647770966,29.159464397349666,61.20729356934212,0.00856471061706543,146.14284753799438,61.15470521712987,29.017634163287557,63.02735775892592,30.221006311486253,0.021810293197631836,"[450 466 468 457 467  92 321  70  68 169 358  69  94 147  88 464 459  95
   7  16 455 306 458  76 407  14 463  84 186 136]",30,146.13428282737732
SVR,21.691166892156016,53.3504696004713,28.86600897414916,62.24029546157876,1.9348078727722169,148.97362241744995,53.25401540390297,21.833243630006287,61.703735756621526,29.727298532928195,3.055525779724121,"[450 466 468 457 467  92 321  70  68 169 358  69  94 147  88 464 459  95
   7  16 455 306 458  76 407  14 463  84 186 136]",30,147.03881454467773
Random Forest,11.487197075121152,29.955877706238407,27.32064744427445,58.10809553965995,14.029575824737549,160.54965209960938,29.49884363056418,11.363877999389167,58.45087061360165,27.73522746314141,17.93616271018982,"[450 466 468 457 467  92 321  70  68 169 358  69  94 147  88 464 459  95
   7  16 455 306 458  76 407  14 463  84 186 136]",30,146.52007627487183
Gradient Boosting,9.050777083024919,19.432737394256463,28.610937109344746,59.045887611775,0.6350983142852783,147.27316913604736,22.70341228189586,10.791298067335923,56.96879464396012,28.298899908499283,0.6881823539733887,"[450 466 468 457 467  92 321  70  68 169 358  69  94 147  88 464 459  95
   7  16 455 306 458  76 407  14 463  84 186 136]",30,146.63807082176208
