Model_name,CV_TrainMAE,CV_TrainRMSE,CV_TestMAE,CV_TestRMSE,CV_fit_time,CV_fit_time_ges,TrainRMSE,TrainMAE,ValidationRMSE,ValidationMAE,TestRMSE,TestMAE,TrainTime_ges,Hauptkomponenten,Hauptkomponenten-Anzahl,FS-Laufzeit
Linear Regressor,33.81582788769178,71.25291395293809,33.848531579173574,70.87866226554553,0.30422039031982423,4.005966377258301,71.27813703157356,33.81868533445829,71.3149002743389,32.24451065850998,74.38696023155076,35.03661524847978,0.011425018310546875,[0.87621234 0.10190373 0.00915138 0.00498924 0.00375841 0.00209388],6,3.7017459869384766
SVR,33.19320577036008,71.63656591194199,33.43047283707722,71.39100077619015,0.6568944454193115,4.534838676452637,71.64388796785394,33.19746375565151,71.78228708358083,31.73867558042478,74.98192643891956,34.620526039091594,1.422497034072876,[0.87621234 0.10190373 0.00915138 0.00498924 0.00375841 0.00209388],6,3.877944231033325
Random Forest,15.056290742834037,37.69103171062266,34.23935848811048,67.99043533011967,3.4839931964874267,7.277757787704468,37.52552700585076,15.018532068152332,67.29922420763157,32.62801755447406,71.93266608495061,35.054198046450196,4.816802501678467,[0.87621234 0.10190373 0.00915138 0.00498924 0.00375841 0.00209388],6,3.793764591217041
Gradient Boosting,16.48206847887148,34.880722450091085,36.151581686875886,69.31085480423006,0.16781811714172362,2.4676845550537108,37.220009386070956,17.963766125289016,68.18020656185266,34.571894666564404,73.12125488426953,36.58272606012496,0.5758435726165771,[0.87621234 0.10190373 0.00915138 0.00498924 0.00375841 0.00209388],6,2.2998664379119873
