Model_name,CV_TrainMAE,CV_TrainRMSE,CV_TestMAE,CV_TestRMSE,CV_fit_time,CV_fit_time_ges,TrainRMSE,TrainMAE,ValidationRMSE,ValidationMAE,TestRMSE,TestMAE,TrainTime_ges,Hauptkomponenten,Hauptkomponenten-Anzahl,FS-Laufzeit
Linear Regressor,33.81620491541788,71.25291557084509,33.844363055411385,70.87626442109186,0.15204110145568847,3.2179385662078857,71.27773782105211,33.818321987876026,71.31508932192334,32.2447091959666,74.38904150483529,35.03575303364377,0.006764650344848633,[0.87621234 0.10190373 0.00915138 0.00498924 0.00375841],5,3.0658974647521973
SVR,33.21895849387025,71.68919780652384,33.44643368540964,71.43421372009989,0.6605168342590332,4.163162326812744,71.69462638255537,33.22358656411917,71.83617798159455,31.75957648465633,74.99754167199319,34.63421473497191,1.4117012023925781,[0.87621234 0.10190373 0.00915138 0.00498924 0.00375841],5,3.502645492553711
Random Forest,15.125174311897002,37.52280466996211,34.3870016251242,68.28090957314421,2.870375156402588,6.549227476119995,37.36735739065367,14.967748256975195,67.5202668954891,32.76177764328629,72.56758208433511,35.64098216717102,4.138621807098389,[0.87621234 0.10190373 0.00915138 0.00498924 0.00375841],5,3.6788523197174072
Gradient Boosting,17.883767795531988,37.42833758368955,36.127249672399785,69.1823223590244,0.14409151077270507,3.3906086921691894,38.82337207255116,19.066159697877474,68.09701114194021,34.576091213887764,73.63015344137843,37.00969679138877,0.16694998741149902,[0.87621234 0.10190373 0.00915138 0.00498924 0.00375841],5,3.2465171813964844
