Model_name,CV_TrainMAE,CV_TrainRMSE,CV_TestMAE,CV_TestRMSE,CV_fit_time,CV_fit_time_ges,TrainRMSE,TrainMAE,ValidationRMSE,ValidationMAE,TestRMSE,TestMAE,TrainTime_ges,Hauptkomponenten,Hauptkomponenten-Anzahl,FS-Laufzeit
Linear Regressor,39.41216158658692,496.7150988787231,41.18686685356838,458.00371479977065,0.07818431854248047,2.2036129951477053,501.0007249290594,39.45950305051424,1415.7408631412536,61.94853687121885,258.1726552074619,34.20981497686478,0.007489204406738281,"[8.76212337e-01 1.01903731e-01 9.15138393e-03 4.98923666e-03
 3.75840970e-03 2.09387806e-03 9.03410760e-04 6.53645039e-04
 1.40844460e-04 9.26009232e-05]",10,2.1254286766052246
SVR,24.7058761103982,49.36365237467713,25.013712699326753,49.30277846589864,0.6728248119354248,4.197679233551026,52.410183955726986,23.50327768057003,165.2216056559924,26.122124144443347,51.21803654751585,24.353054665542626,1.4886815547943115,"[8.76212337e-01 1.01903731e-01 9.15138393e-03 4.98923666e-03
 3.75840970e-03 2.09387806e-03 9.03410760e-04 6.53645039e-04
 1.40844460e-04 9.26009232e-05]",10,3.5248544216156006
Random Forest,0.9985942789923392,2.758572826128332,2.663655150462401,6.9025019527363485,4.087085580825805,6.485149002075195,2.543873887714983,0.952213942505655,8.40224844078681,2.3785114029620935,6.430080633582599,2.5376548708163043,5.674828767776489,"[8.76212337e-01 1.01903731e-01 9.15138393e-03 4.98923666e-03
 3.75840970e-03 2.09387806e-03 9.03410760e-04 6.53645039e-04
 1.40844460e-04 9.26009232e-05]",10,2.3980634212493896
Gradient Boosting,0.7349750616911163,1.314869683462458,3.122072806240851,9.15054702156758,0.29797987937927245,4.071728754043579,1.5792393108832854,0.8569112944517123,10.113250686509485,3.019264434466923,8.9816352134895,3.2392290065911684,0.708505392074585,"[8.76212337e-01 1.01903731e-01 9.15138393e-03 4.98923666e-03
 3.75840970e-03 2.09387806e-03 9.03410760e-04 6.53645039e-04
 1.40844460e-04 9.26009232e-05]",10,3.7737488746643066
