Model_name,CV_TrainMAE,CV_TrainRMSE,CV_TestMAE,CV_TestRMSE,CV_fit_time,CV_fit_time_ges,TrainRMSE,TrainMAE,ValidationRMSE,ValidationMAE,TestRMSE,TestMAE,TrainTime_ges,Hauptkomponenten,Hauptkomponenten-Anzahl,FS-Laufzeit
Linear Regressor,33.80938313819396,71.37444853825247,33.82052656701346,70.98677167129749,0.07645111083984375,2.953665542602539,71.3973489369324,33.81040446958594,71.47326636100684,32.20596946006917,74.43748969482894,34.955692334684514,0.0027399063110351562,[0.87621234],1,2.8772144317626953
SVR,33.48895365238963,72.25346851467805,33.53261855140945,71.90288477200599,0.6611048698425293,4.091161680221558,72.29736048452523,33.48958970666344,72.31998441844388,31.868216173039382,75.38416581751477,34.688607096754524,1.3651893138885498,[0.87621234],1,3.4300568103790283
Random Forest,17.805638372720672,42.62296724457707,42.11187161659865,77.24245096654371,0.9499603271484375,3.5462428092956544,42.73270742078173,17.825169789093952,78.73130570157029,41.304746883044494,79.14394648998041,42.193773039914596,1.5834217071533203,[0.87621234],1,2.596282482147217
Gradient Boosting,33.3963034301892,70.17616068541372,35.00071382746278,71.48298056231123,0.04224529266357422,2.2223533630371093,70.381439993289,33.497724213924556,71.77404930262465,33.144023138396506,74.61579927070912,35.71213272376494,0.4450531005859375,[0.87621234],1,2.180108070373535
