Model_name,CV_TrainMAE,CV_TrainRMSE,CV_TestMAE,CV_TestRMSE,CV_fit_time,CV_fit_time_ges,TrainRMSE,TrainMAE,ValidationRMSE,ValidationMAE,TestRMSE,TestMAE,TrainTime_ges,Hauptkomponenten,Hauptkomponenten-Anzahl,FS-Laufzeit
Linear Regressor,38.35431824692053,470.7316679400151,40.30162380950799,440.3173362970525,0.3065512657165527,2.7825742244720457,474.2776044401631,38.42991009317177,1391.938641339408,60.71257260884406,245.58164461596184,32.82940841393864,0.3945345878601074,"[8.76212337e-01 1.01903731e-01 9.15138393e-03 4.98923666e-03
 3.75840970e-03 2.09387806e-03 9.03410760e-04 6.53645039e-04
 1.40844460e-04 9.26009232e-05 6.50856213e-05 2.81833637e-05
 4.28290113e-06 2.97097240e-06 4.68699342e-11 1.99381734e-11
 1.24242491e-11 5.28571682e-12 4.23589343e-12 3.09211976e-12
 1.59398670e-12 1.13881029e-12 5.58382692e-13 5.07307536e-13
 4.41111685e-13 3.46467799e-13 3.15849438e-13 1.86164285e-13
 1.56012820e-13 1.41970439e-13]",30,2.476022958755493
SVR,24.70164985895989,49.35991200204845,25.01075734580585,49.301850979924346,0.9105230808258057,3.996954345703125,52.43185329205641,23.500948001886226,165.4325531262212,26.12207377888466,51.28514139120699,24.36541436698874,1.8363542556762695,"[8.76212337e-01 1.01903731e-01 9.15138393e-03 4.98923666e-03
 3.75840970e-03 2.09387806e-03 9.03410760e-04 6.53645039e-04
 1.40844460e-04 9.26009232e-05 6.50856213e-05 2.81833637e-05
 4.28290113e-06 2.97097240e-06 4.68699342e-11 1.99381734e-11
 1.24242491e-11 5.28571682e-12 4.23589343e-12 3.09211976e-12
 1.59398670e-12 1.13881029e-12 5.58382692e-13 5.07307536e-13
 4.41111685e-13 3.46467799e-13 3.15849438e-13 1.86164285e-13
 1.56012820e-13 1.41970439e-13]",30,3.0864312648773193
Random Forest,1.1015345422761622,2.9246999804751193,2.8847873532191612,7.329699016102351,11.800355863571166,15.031523418426513,2.6921164918336387,1.0496780420962477,8.839944244837378,2.7280461644450864,6.97360467856749,2.894954971374097,15.751145601272583,"[8.76212337e-01 1.01903731e-01 9.15138393e-03 4.98923666e-03
 3.75840970e-03 2.09387806e-03 9.03410760e-04 6.53645039e-04
 1.40844460e-04 9.26009232e-05 6.50856213e-05 2.81833637e-05
 4.28290113e-06 2.97097240e-06 4.68699342e-11 1.99381734e-11
 1.24242491e-11 5.28571682e-12 4.23589343e-12 3.09211976e-12
 1.59398670e-12 1.13881029e-12 5.58382692e-13 5.07307536e-13
 4.41111685e-13 3.46467799e-13 3.15849438e-13 1.86164285e-13
 1.56012820e-13 1.41970439e-13]",30,3.2311675548553467
Gradient Boosting,0.521294551812808,0.9099277954739529,3.138358263390947,8.389234452015051,0.9343530178070069,4.41216459274292,1.218754081090517,0.6651430794161243,11.155091373587538,3.2132918047186596,8.313808122815116,3.3058127898384226,1.350454568862915,"[8.76212337e-01 1.01903731e-01 9.15138393e-03 4.98923666e-03
 3.75840970e-03 2.09387806e-03 9.03410760e-04 6.53645039e-04
 1.40844460e-04 9.26009232e-05 6.50856213e-05 2.81833637e-05
 4.28290113e-06 2.97097240e-06 4.68699342e-11 1.99381734e-11
 1.24242491e-11 5.28571682e-12 4.23589343e-12 3.09211976e-12
 1.59398670e-12 1.13881029e-12 5.58382692e-13 5.07307536e-13
 4.41111685e-13 3.46467799e-13 3.15849438e-13 1.86164285e-13
 1.56012820e-13 1.41970439e-13]",30,3.477811574935913
