Model_name,CV_TrainMAE,CV_TrainRMSE,CV_TestMAE,CV_TestRMSE,CV_fit_time,CV_fit_time_ges,TrainRMSE,TrainMAE,ValidationRMSE,ValidationMAE,TestRMSE,TestMAE,TrainTime_ges,Hauptkomponenten,Hauptkomponenten-Anzahl,FS-Laufzeit
Linear Regressor,39.39688567557664,496.13110563626304,41.16511085669146,457.665888396248,0.0038269996643066407,2.3786620140075683,500.4512438551539,39.44456420215214,1413.889532184809,61.87687382148611,257.960667418694,34.167457671112395,0.006795644760131836,"[8.76212337e-01 1.01903731e-01 9.15138393e-03 4.98923666e-03
 3.75840970e-03 2.09387806e-03 9.03410760e-04 6.53645039e-04
 1.40844460e-04]",9,2.3748350143432617
SVR,24.71124692230635,49.36659033237331,25.015121397936184,49.30472776806064,0.6646010875701904,3.7752373218536377,52.39374646695246,23.508125914257455,164.9774230051457,26.113212482605075,51.203393547171075,24.35246105647859,1.4620294570922852,"[8.76212337e-01 1.01903731e-01 9.15138393e-03 4.98923666e-03
 3.75840970e-03 2.09387806e-03 9.03410760e-04 6.53645039e-04
 1.40844460e-04]",9,3.1106362342834473
Random Forest,0.9956815925129282,2.7236974604749102,2.643943327210178,7.021097665111725,3.6726770401000977,6.262803316116333,2.577830215649278,0.9384462910752903,8.259862804068451,2.355187942922083,6.271815990960528,2.5029697153226422,5.076212406158447,"[8.76212337e-01 1.01903731e-01 9.15138393e-03 4.98923666e-03
 3.75840970e-03 2.09387806e-03 9.03410760e-04 6.53645039e-04
 1.40844460e-04]",9,2.5901262760162354
Gradient Boosting,0.7805950440070454,1.431603993831683,3.031384908796734,8.759011056332904,0.2750400543212891,2.2688325881958007,1.6761607367937394,0.9262960351098548,10.378616547388953,3.021034547454461,8.188440195887999,3.0407844791358167,0.6584899425506592,"[8.76212337e-01 1.01903731e-01 9.15138393e-03 4.98923666e-03
 3.75840970e-03 2.09387806e-03 9.03410760e-04 6.53645039e-04
 1.40844460e-04]",9,1.9937925338745117
