Model_name,CV_TrainMAE,CV_TrainRMSE,CV_TestMAE,CV_TestRMSE,CV_fit_time,CV_fit_time_ges,TrainRMSE,TrainMAE,ValidationRMSE,ValidationMAE,TestRMSE,TestMAE,TrainTime_ges,Hauptkomponenten,Hauptkomponenten-Anzahl,FS-Laufzeit
Linear Regressor,33.80858264951123,71.37209305462765,33.82893658054592,70.993590571076,0.07763242721557617,2.6483845710754395,71.39665003243032,33.80963769718397,71.46637217146333,32.19093296829739,74.43079204737636,34.956466817654054,0.01052713394165039,[0.87621234 0.10190373 0.00915138],3,2.5707521438598633
SVR,33.32316793873868,71.87069843458639,33.49492355830554,71.5937278973675,0.6399775981903076,4.14217963218689,71.87597573543658,33.33075367439743,72.0097381913873,31.816482962480766,75.1184124815528,34.6897801343063,1.340958833694458,[0.87621234 0.10190373 0.00915138],3,3.502202033996582
Random Forest,15.578414811753792,39.04145821505341,35.426073736024954,69.90481858041905,1.9759813308715821,4.36754879951477,38.85889682012467,15.514005848696806,68.77372921409622,33.65565534921107,72.96627011643363,35.855584711853034,2.8738791942596436,[0.87621234 0.10190373 0.00915138],3,2.3915674686431885
Gradient Boosting,20.8745254555886,44.11762930485944,36.50821268605635,70.67214000427296,0.09055871963500976,3.459335994720459,48.29273259300548,22.777750792660587,70.43459195415507,34.48207082038172,74.26050936092416,37.196985153853895,0.5046801567077637,[0.87621234 0.10190373 0.00915138],3,3.368777275085449
