Model_name,CV_TrainMAE,CV_TrainRMSE,CV_TestMAE,CV_TestRMSE,CV_fit_time,CV_fit_time_ges,TrainRMSE,TrainMAE,ValidationRMSE,ValidationMAE,TestRMSE,TestMAE,TrainTime_ges,Hauptkomponenten,Hauptkomponenten-Anzahl,FS-Laufzeit
Linear Regressor,38.0893759768692,275.9536219418725,43.876574130744814,371.7353209692891,0.07816243171691895,4.592844247817993,173.8403229374612,36.366106090737546,68.63658543243059,30.911179382590838,132.9742134929442,36.25888495873368,0.015645980834960938,"[8.76212337e-01 1.01903731e-01 9.15138393e-03 4.98923666e-03
 3.75840970e-03 2.09387806e-03 9.03410760e-04 6.53645039e-04]",8,4.514681816101074
SVR,30.85057369391534,65.67413672222946,31.138366314839697,65.55639596610747,0.6853829860687256,3.7612596988677978,64.33543808213429,30.461532902745404,63.823215877698225,29.411304412268308,67.02545346395554,31.837139113227582,1.4802374839782715,"[8.76212337e-01 1.01903731e-01 9.15138393e-03 4.98923666e-03
 3.75840970e-03 2.09387806e-03 9.03410760e-04 6.53645039e-04]",8,3.0758767127990723
Random Forest,10.410125100873657,22.551632504151865,26.197860418298166,48.88353261249332,3.8819618225097656,6.228015422821045,21.28609702935872,10.178989588492822,53.20744709022606,26.384071391962507,51.412630998746295,27.0543122850167,5.332580804824829,"[8.76212337e-01 1.01903731e-01 9.15138393e-03 4.98923666e-03
 3.75840970e-03 2.09387806e-03 9.03410760e-04 6.53645039e-04]",8,2.3460536003112793
Gradient Boosting,9.061916091270833,14.894722667960147,27.51093687895402,51.097050642161726,0.23053288459777832,3.671339273452759,16.83521742838335,10.382352640801857,50.91266356336701,26.843527647363253,55.874111914873566,28.309674374691465,0.6717641353607178,"[8.76212337e-01 1.01903731e-01 9.15138393e-03 4.98923666e-03
 3.75840970e-03 2.09387806e-03 9.03410760e-04 6.53645039e-04]",8,3.4408063888549805
