Model_name,CV_TrainMAE,CV_TrainRMSE,CV_TestMAE,CV_TestRMSE,CV_fit_time,CV_fit_time_ges,TrainRMSE,TrainMAE,ValidationRMSE,ValidationMAE,TestRMSE,TestMAE,TrainTime_ges,Hauptkomponenten,Hauptkomponenten-Anzahl,FS-Laufzeit
Linear Regressor,33.79687164683145,71.31671659641718,33.817615587464154,70.93681469122654,0.002159309387207031,2.448996734619141,71.3410634306397,33.798094637024064,71.40679074085492,32.230721961036004,74.38167028935818,34.976925938269254,0.3875131607055664,[0.87621234 0.10190373 0.00915138 0.00498924],4,2.4468374252319336
SVR,33.263911430407866,71.76025217346299,33.48456040694979,71.50273684699002,0.6273385047912597,3.3005879878997804,71.77429353598451,33.27661976991568,71.92277585251223,31.7992460942511,75.00085309465067,34.64384218186758,1.3751239776611328,[0.87621234 0.10190373 0.00915138 0.00498924],4,2.6732494831085205
Random Forest,15.31275250464454,38.28243661568265,35.072497300690706,69.1217532075456,2.4098370552062987,5.458303022384643,38.025113085163554,15.195784895701657,68.42235218765325,33.584680049725584,73.23581114178945,35.869175029669044,3.4887032508850098,[0.87621234 0.10190373 0.00915138 0.00498924],4,3.0484659671783447
Gradient Boosting,19.070761161827154,40.3568038697979,36.57263529295314,70.19671194523319,0.11407461166381835,2.7275978565216064,43.213112901180835,20.758272215794587,69.7764670119318,34.37611055618121,74.23878556403687,37.34667558046905,0.5215675830841064,[0.87621234 0.10190373 0.00915138 0.00498924],4,2.613523244857788
