Gradient Boosting
AT2 Fadenz.pro 10 cm
EA Chargen Status
NA Nadelb. Komb. S3
PF Arbeitplatz
VR2 Mischungsnummer
PF Flächengew. Type
_= -6% _= 6%
EA LD links
EA Verlauf b. Anz.
Höchstzugkraft lä MW
LAB Softness l 25
LAB Softness l 75
NA n. fehlende Ösen
PF Dicke
PF Länge Endkontr.
VA2 Vorfixierspann.S
Vlies WS
Vliesgewicht PS
