Model_name,CV_TrainMAE,CV_TrainRMSE,CV_TestMAE,CV_TestRMSE,CV_fit_time,CV_fit_time_ges,TrainRMSE,TrainMAE,TestRMSE,TestMAE,TrainTime_ges,Hauptkomponenten,Hauptkomponenten-Anzahl,FS-Laufzeit
Linear Regressor,33.3745590369987,71.39844588138519,33.42237225625774,71.33447036104636,0.004442787170410157,0.11431941986083985,71.41896291305207,33.37727593790753,74.50249943216986,34.93204589076277,0.009153366088867188,"[0.09876714 0.07844711 0.064026   0.0433126  0.03546854 0.03111994
 0.02907069 0.02611623 0.02165469 0.02038308]",10,0.10987663269042969
SVR,32.59550396776383,71.82472877279751,33.32137618789686,72.14422711144603,1.3883053302764892,1.5144170761108398,71.89123195276431,32.654208776520804,75.28626110796753,34.74099636191535,2.1727848052978516,"[0.09876714 0.07844711 0.064026   0.0433126  0.03546854 0.03111994
 0.02907069 0.02611623 0.02165469 0.02038308]",10,0.12611174583435059
Random Forest,15.646391307735826,41.57598222869148,34.41208530738241,71.27748759070124,10.941294431686401,11.076658725738525,41.01804059274099,15.531928409891014,74.2931656100678,35.96869531640645,14.686353206634521,"[0.09876714 0.07844711 0.064026   0.0433126  0.03546854 0.03111994
 0.02907069 0.02611623 0.02165469 0.02038308]",10,0.13536429405212402
Gradient Boosting,18.15028009521312,42.74761741932029,36.12515797130477,71.94259852406043,0.24427971839904786,0.35229859352111814,46.69472673080283,20.16489675463161,75.5505621484879,37.94879377287897,0.3469257354736328,"[0.09876714 0.07844711 0.064026   0.0433126  0.03546854 0.03111994
 0.02907069 0.02611623 0.02165469 0.02038308]",10,0.10801887512207031
