Model_name,CV_TrainMAE,CV_TrainRMSE,CV_TestMAE,CV_TestRMSE,CV_fit_time,CV_fit_time_ges,TrainRMSE,TrainMAE,TestRMSE,TestMAE,TrainTime_ges,Hauptkomponenten,Hauptkomponenten-Anzahl,FS-Laufzeit
Linear Regressor,30.948107864089696,65.52860100814175,31.232402267879714,66.95593960258985,0.08093256950378418,3.3130442619323732,65.58279779191663,30.965579973945783,67.32335123862711,32.19610026146436,0.3952786922454834,"[0.09876714 0.07844711 0.064026   0.0433126  0.03546854 0.03111994
 0.02907069 0.02611623 0.02165469 0.02038308 0.01861822 0.01848702
 0.01780061 0.01516636 0.01366973 0.01237932 0.01220127 0.01139007
 0.01098239 0.00998618 0.00962931 0.00891382 0.00868085 0.00855385
 0.00843614 0.00816319 0.00783348 0.00777088 0.00697656 0.00671794]",30,3.232111692428589
SVR,29.036880009659615,63.53526105823992,31.300588102533574,65.36177225414289,1.723368263244629,6.8379498481750485,63.38643159277999,29.12717973543432,67.16175803659274,32.451259916952274,2.9970107078552246,"[0.09876714 0.07844711 0.064026   0.0433126  0.03546854 0.03111994
 0.02907069 0.02611623 0.02165469 0.02038308 0.01861822 0.01848702
 0.01780061 0.01516636 0.01366973 0.01237932 0.01220127 0.01139007
 0.01098239 0.00998618 0.00962931 0.00891382 0.00868085 0.00855385
 0.00843614 0.00816319 0.00783348 0.00777088 0.00697656 0.00671794]",30,5.11458158493042
Random Forest,13.59669290882329,35.38465553776029,31.36153294019054,64.80468532188367,25.31340346336365,29.270014142990114,34.26531648519581,13.424567775260893,67.82135835146794,32.70917628477455,33.21900224685669,"[0.09876714 0.07844711 0.064026   0.0433126  0.03546854 0.03111994
 0.02907069 0.02611623 0.02165469 0.02038308 0.01861822 0.01848702
 0.01780061 0.01516636 0.01366973 0.01237932 0.01220127 0.01139007
 0.01098239 0.00998618 0.00962931 0.00891382 0.00868085 0.00855385
 0.00843614 0.00816319 0.00783348 0.00777088 0.00697656 0.00671794]",30,3.956610679626465
Gradient Boosting,10.169053496587399,22.478958817314393,33.31655818387935,65.95360504043522,0.9977110385894775,3.8841310501098634,26.724841769371928,12.315248158419925,68.97591715206521,34.79376277178526,1.423675537109375,"[0.09876714 0.07844711 0.064026   0.0433126  0.03546854 0.03111994
 0.02907069 0.02611623 0.02165469 0.02038308 0.01861822 0.01848702
 0.01780061 0.01516636 0.01366973 0.01237932 0.01220127 0.01139007
 0.01098239 0.00998618 0.00962931 0.00891382 0.00868085 0.00855385
 0.00843614 0.00816319 0.00783348 0.00777088 0.00697656 0.00671794]",30,2.8864200115203857
