Gradient Boosting
Benadelungstechnik
SD Suchbegriff 1 K.
AT1 Werksversion
PF Z-Status
SD Kundenname
VA3 Gewebemodulnr.
VC2 Vliesmodulnummer
VC2 Werkversion
FELT_NUMBER
Belegmuster Datum
SD Soll-Breite
Abw LD z Sollwert
Aktive Oberfläche
EA LD Textest VPE
EA Verzug Laufstr.
Höchstzugkraft lä MW
PTI  LD
PTI Total
VA2 Länge v.Vorfix.
Var Abrieb WS
VC1 Länge
AVERAGE_AIR_PERM
