Gradient Boosting
AT3 Fadenz.pro 10 cm
EA Fixierungsart
NA Nadelb. Komb. S3
PF Z-Status
Statistikgruppe
VR2 Z-Status
PF WE aus Prod.
PF Flächengewicht
AT2 Basisbreite
BM1 Breite
BM4 Stücklistenpos.
EA LD quer
LAB DickeFV
NA Länge v. Nadeln20
PF-VC2 Flächengewicht Soll
VA3 Breite v.Vorfix.
VC3 Gewicht Vliesr.
