Gradient Boosting
SD Einsatzst.-bez.
AT1 Fäd.10 cm mitte
AT2 Fäd.20 cm links
AT2 Fadenz.pro 10 cm
AT3 Atrocross-ModNr.
Filzklasse
PF Charge
Produktgruppe Fertigung
Statistikgruppe
VC2 Werkversion
VR2 Z-Status
VR3 Werkversion
VR4 Versionsnummer
EA Letzte Änderung
VR1 Letzte Änderung
VR2 WE Produktion
EA LD Textest
_ -11% _= -15%
AT1 Basisbreite
AT2 Wickellänge
GG2 Weblänge CIR
LAB Bezugsdeh. l GW
LAB HZKraft quer GW
NA Breite v. N. M10
NA Länge vor NadelnS
NA Trägergew.v.Nad.
NA Trägergew.vN Soll
PF Bondn.ungl. Ösenl
VA1 Breite n.Vorf.S
VA1 Länge vor Vorfixieren Soll
VA3 Länge n.Vorfix.
VA4 Länge n.Vorfix.
Var Abrieb PS
Var Höchstzk längs
VC1 Legebreite
VC2 Gewicht Vliesr.
VC3 Länge
Vliesmeng WS
Vliesmenge WS gewogen
WD bei 100 bar
