Model_name,CV_TrainMAE,CV_TrainRMSE,CV_TestMAE,CV_TestRMSE,CV_fit_time_ges,TrainRMSE,TrainMAE,ValidationRMSE,ValidationMAE,TestRMSE,TestMAE,TrainTime_ges,Features,Feature-Anzahl
Linear Regressor,33.74829898454959,71.23153326207685,33.92389002562479,71.02406493645681,0.1564108371734619,71.28179450660683,33.75243789107165,71.4179255184247,32.110232976975425,74.52831251774518,35.04376341375933,0.008491039276123047,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",30
SVR,33.43864667898586,72.25570770519717,33.52920586642033,71.91473191802228,0.9752380847930908,72.27746404925557,33.44539931028568,72.2951981353375,31.79806406096249,75.32269605820238,34.67368431182271,1.651444911956787,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",30
Random Forest,16.007150376424697,41.647389278156176,35.782105690061805,71.6317007004009,9.577713060379029,41.45660224843944,16.050770067578444,71.75300109425595,34.37656076185384,73.6557207298488,36.477563429189175,11.920541763305664,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",30
Gradient Boosting,15.654879270019242,36.46724452473604,38.147714087519944,73.51113474213716,0.5124953269958497,42.30121476651723,18.310280335159582,73.47371400147203,36.50171533560739,75.29253831426243,38.12524755271998,0.5447127819061279,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",30
