Model_name,CV_TrainMAE,CV_TrainRMSE,CV_TestMAE,CV_TestRMSE,CV_fit_time,CV_fit_time_ges,TrainRMSE,TrainMAE,TestRMSE,TestMAE,TrainTime_ges,Hauptkomponenten,Hauptkomponenten-Anzahl,FS-Laufzeit
Linear Regressor,30.948107864089696,65.52860100814175,31.232402267879714,66.95593960258985,0.1580198287963867,2.5347497940063475,65.58279779191663,30.965579973945783,67.32335123862711,32.19610026146436,0.397472620010376,"[0.09876714 0.07844711 0.064026   0.0433126  0.03546854 0.03111994
 0.02907069 0.02611623 0.02165469 0.02038308 0.01861822 0.01848702
 0.01780061 0.01516636 0.01366973 0.01237932 0.01220127 0.01139007
 0.01098239 0.00998618 0.00962931 0.00891382 0.00868085 0.00855385
 0.00843614 0.00816319 0.00783348 0.00777088 0.00697656 0.00671794]",30,2.376729965209961
SVR,29.036880009659615,63.53526105823992,31.300588102533574,65.36177225414289,1.735388422012329,5.254282855987549,63.38643159277999,29.12717973543432,67.16175803659274,32.451259916952274,3.025085687637329,"[0.09876714 0.07844711 0.064026   0.0433126  0.03546854 0.03111994
 0.02907069 0.02611623 0.02165469 0.02038308 0.01861822 0.01848702
 0.01780061 0.01516636 0.01366973 0.01237932 0.01220127 0.01139007
 0.01098239 0.00998618 0.00962931 0.00891382 0.00868085 0.00855385
 0.00843614 0.00816319 0.00783348 0.00777088 0.00697656 0.00671794]",30,3.5188944339752197
Random Forest,13.612170401184136,35.07651673631111,31.272968675242584,64.74649480969063,25.080191469192506,28.565577363967897,34.3382382475096,13.533939123443922,68.13951878502347,32.85165134981072,32.38404846191406,"[0.09876714 0.07844711 0.064026   0.0433126  0.03546854 0.03111994
 0.02907069 0.02611623 0.02165469 0.02038308 0.01861822 0.01848702
 0.01780061 0.01516636 0.01366973 0.01237932 0.01220127 0.01139007
 0.01098239 0.00998618 0.00962931 0.00891382 0.00868085 0.00855385
 0.00843614 0.00816319 0.00783348 0.00777088 0.00697656 0.00671794]",30,3.4853858947753906
Gradient Boosting,10.169053496587399,22.478958817314393,33.31655818387935,65.95360504043522,0.9746281623840332,3.4144260406494142,26.724841769371928,12.315248158419925,68.97591715206521,34.79376277178526,1.4356238842010498,"[0.09876714 0.07844711 0.064026   0.0433126  0.03546854 0.03111994
 0.02907069 0.02611623 0.02165469 0.02038308 0.01861822 0.01848702
 0.01780061 0.01516636 0.01366973 0.01237932 0.01220127 0.01139007
 0.01098239 0.00998618 0.00962931 0.00891382 0.00868085 0.00855385
 0.00843614 0.00816319 0.00783348 0.00777088 0.00697656 0.00671794]",30,2.439797878265381
