Model_name,CV_TrainMAE,CV_TrainRMSE,CV_TestMAE,CV_TestRMSE,CV_fit_time,CV_fit_time_ges,TrainRMSE,TrainMAE,TestRMSE,TestMAE,TrainTime,TrainTime_ges,Features,Feature-Anzahl,FS-Laufzeit
Linear Regressor,28.75899900254867,60.49547914075665,28.89470697125376,60.66180515799749,0.005727291107177734,0.1917252540588379,60.52698650159613,28.76610367759317,62.18546769977149,29.981542567846414,0.014496564865112305,0.20049452781677246,"[457 466 450 449 461 460 453 467 147 456 459 458 451 452 463 455 462 465
 468  95]",20,0.18599796295166016
SVR,23.166368632751315,52.68293271338382,26.844498483297674,57.08076266577651,1.4340434551239014,1.6273262977600098,52.618082784554815,23.240008540509013,56.03851941603041,27.04650418505863,2.2032816410064697,2.396564483642578,"[457 466 450 449 461 460 453 467 147 456 459 458 451 452 463 455 462 465
 468  95]",20,0.1932828426361084
Random Forest,10.799941480370975,28.555399757552202,25.98992647061063,56.376134377805634,7.7525763511657715,7.936777591705322,28.490140662259154,10.63539863783609,54.0947370673152,25.686890409640426,9.849658489227295,10.033859729766846,"[457 466 450 449 461 460 453 467 147 456 459 458 451 452 463 455 462 465
 468  95]",20,0.18420124053955078
Gradient Boosting,12.216319013309311,29.031555666767265,26.941726340789256,57.383443548311774,0.3170888423919678,0.5292918682098389,31.43281800427654,13.469052217472948,53.7548313390654,26.257429408959368,0.3788323402404785,0.5910353660583496,"[457 466 450 449 461 460 453 467 147 456 459 458 451 452 463 455 462 465
 468  95]",20,0.2122030258178711
