Model_name,CV_TrainMAE,CV_TrainRMSE,CV_TestMAE,CV_TestRMSE,CV_fit_time,CV_fit_time_ges,TrainRMSE,TrainMAE,TestRMSE,TestMAE,TrainTime,TrainTime_ges,Features,Feature-Anzahl,FS-Laufzeit
Linear Regressor,29.8769076226207,63.71879433632829,29.920061821703076,63.657040003003715,0.00331263542175293,0.19638471603393554,63.72948179652923,29.87291691500697,65.6409903658183,30.890061928606173,0.01159977912902832,0.20467185974121094,[457 466 450 449 461 460 453 467 147 456],10,0.19307208061218262
SVR,26.268966567191534,56.95949660774452,27.684950509607614,58.488905316469456,1.3337800979614258,1.5414729595184327,56.80476768273339,26.282313603194083,58.00570982863751,28.1843610974799,2.0354576110839844,2.243150472640991,[457 466 450 449 461 460 453 467 147 456],10,0.20769286155700684
Random Forest,11.574158108936278,29.589751838949404,27.770970031973707,58.59171401327942,3.914034032821655,4.13233699798584,29.023755730958886,11.473566370679219,55.75245592756739,27.24673233941437,4.966395139694214,5.184698104858398,[457 466 450 449 461 460 453 467 147 456],10,0.21830296516418457
Gradient Boosting,16.222037462850686,38.103700184450986,28.323474095764936,59.381952780216906,0.1634547233581543,0.36344618797302247,40.58544833120028,17.48219494632593,55.14886513756319,27.56299448392608,0.18849682807922363,0.3884882926940918,[457 466 450 449 461 460 453 467 147 456],10,0.19999146461486816
